element,state,observed,expected,fold_enrichment,log2_fold_enrichment,p_value,state_size_bp,genome_fraction,total_insertions_mapped,p_adj,signif
HIV,10_EnhA2,52,36.38185756564365,1.4292838101016858,0.515292418023358,0.01704026171145575,5535800,0.0018231950671833452,19955,0.026290689497674585,*
HIV,11_EnhWk,619,402.24698664632626,1.5388555304312392,0.6218577961146472,4.915155563566837e-24,61205200,0.020157704166691368,19955,1.0616736017304368e-23,***
HIV,12_ZNF/Rpts,16,22.28337842083734,0.7180239772366963,-0.47789607359265607,0.21192966920818623,3390600,0.0011166814543140738,19955,0.2861050534310514,ns
HIV,13_Het,82,267.35847957954337,0.3067043174727649,-1.705079619339797,2.0541001181311142e-40,40680800,0.013398069635657399,19955,4.822669842568703e-40,***
HIV,14_TssBiv,0,2.201655096732292,0.0,,0.2212113832520833,335000,0.0001103309995856824,19955,0.29135157794176825,ns
HIV,15_EnhBiv,0,1.8585912279280365,0.0,,0.31175536191274195,282800,9.313912442636115e-05,19955,0.382608853256547,ns
HIV,16_ReprPC,54,273.64798384095474,0.19733381274018452,-2.3412899148368274,1.8454584083163018e-59,41637800,0.013713254013578287,19955,4.529761547685468e-59,***
HIV,17_ReprPCWk,752,2378.4236842122596,0.3161757953352472,-1.6612011676920588,0.0,361896800,0.11918936027122323,19955,0.0,***
HIV,18_Quies,5437,13345.585394876294,0.40740063767359364,-1.2954798564396948,0.0,2030641000,0.6687840338199095,19955,0.0,***
HIV,1_TssA,44,107.677364492125,0.40862812911081187,-1.2911395752707988,5.070736163873629e-12,16384000,0.005396009245408419,19955,1.0141472327747258e-11,***
HIV,2_TssFlnk,51,39.42605649342394,1.2935607701091416,0.3713478318932954,0.08603292414023932,5999000,0.001975748258252265,19955,0.12225731325191902,ns
HIV,3_TssFlnkU,189,118.84074164827268,1.590363686549301,0.6693567207192318,3.285502472654787e-09,18082600,0.005955436815247942,19955,6.336326197262803e-09,***
HIV,4_TssFlnkD,170,62.897671456020085,2.702802759858432,1.4344562333832245,9.228607600803823e-29,9570400,0.003151975517715865,19955,2.07643671018086e-28,***
HIV,5_Tx,3799,483.5005467148039,7.857281704876471,2.974030285870104,0.0,73568600,0.024229543809311145,19955,0.0,***
HIV,6_TxWk,7953,2204.9345770107084,3.6069097391461407,1.8507633209587069,0.0,335499000,0.11049534337312494,19955,0.0,***
HIV,7_EnhG1,427,46.6750880507246,9.148349105114782,3.1935114206914226,5.343663583265685e-249,7102000,0.002339017191216467,19955,1.697399020566747e-248,***
HIV,8_EnhG2,125,16.0175337365849,7.803947976990573,2.9642041606240443,3.747498352186239e-66,2437200,0.0008026827229558959,19955,9.636424334193186e-66,***
HIV,9_EnhA1,185,145.04240893081686,1.2754890198234528,0.35105047940731016,0.0015346418554671535,22069400,0.007268474514197788,19955,0.0025897081311008216,**
L1,10_EnhA2,2,2.8533002801419354,0.7009426992032228,-0.5126315835390811,0.9133261366762913,5535800,0.0018231950671833452,1565,1.0,ns
L1,11_EnhWk,52,31.54680702087199,1.648344314706581,0.7210176316201281,0.0009064333437986977,61205200,0.020157704166691368,1565,0.0015789484053267638,**
L1,12_ZNF/Rpts,1,1.7476064760015255,0.5722112007091962,-0.8053803570140031,0.9569584999313472,3390600,0.0011166814543140738,1565,1.0,ns
L1,13_Het,7,20.967978979803828,0.33384237969440633,-1.5827609853216231,0.0007560579707630836,40680800,0.013398069635657399,1565,0.0013609043473735505,**
L1,14_TssBiv,0,0.17266801435159296,0.0,,1.0,335000,0.0001103309995856824,1565,1.0,ns
L1,15_EnhBiv,0,0.14576272972725518,0.0,,1.0,282800,9.313912442636115e-05,1565,1.0,ns
L1,16_ReprPC,21,21.46124253125002,0.9785081161736839,-0.03134427764288233,1.0,41637800,0.013713254013578287,1565,1.0,ns
L1,17_ReprPCWk,159,186.53134882446435,0.8524036361825016,-0.23039134750668752,0.03189604202181322,361896800,0.11918936027122323,1565,0.047844063032719826,*
L1,18_Quies,998,1046.6470129281583,0.9535210894147964,-0.06866324732188259,0.010174707250471962,2030641000,0.6687840338199095,1565,0.016159829162514294,*
L1,1_TssA,12,8.444754469064176,1.4210004617611822,0.5069070233917133,0.292166804824843,16384000,0.005396009245408419,1565,0.36690715024515164,ns
L1,2_TssFlnk,2,3.0920460241647945,0.6468209025252878,-0.6285617934995469,0.8053057020849954,5999000,0.001975748258252265,1565,0.9059689148456199,ns
L1,3_TssFlnkU,15,9.320258615863029,1.6093974017491406,0.686520608685331,0.10449585345918899,18082600,0.005955436815247942,1565,0.14468656632810784,ns
L1,4_TssFlnkD,6,4.932841685225329,1.2163374344591245,0.28254351454533216,0.7444766218349539,9570400,0.003151975517715865,1565,0.8553561187039896,ns
L1,5_Tx,45,37.919236061571944,1.1867327687438258,0.2469951021134092,0.28068721158108023,73568600,0.024229543809311145,1565,0.3608835577471031,ns
L1,6_TxWk,224,172.92521237894053,1.2953576688929345,0.3733505040065494,8.396063446875208e-05,335499000,0.11049534337312494,1565,0.0001563404917694004,***
L1,7_EnhG1,4,3.6605619042537705,1.0927284129116308,0.12793487764958528,0.9954954832981356,7102000,0.002339017191216467,1565,1.0,ns
L1,8_EnhG2,2,1.2561984614259771,1.592105118270639,0.6709355925406102,0.7152388633686452,2437200,0.0008026827229558959,1565,0.8396282309110182,ns
L1,9_EnhA1,15,11.375162614719539,1.318662467347051,0.39907533107816967,0.3477004413482672,22069400,0.007268474514197788,1565,0.41724052961792063,ns
MLV,10_EnhA2,2137,424.7771027277117,5.030873807173755,2.330809001977234,0.0,5535800,0.0018231950671833452,232985,0.0,***
MLV,11_EnhWk,17065,4696.442705276589,3.633601232019073,1.8614001003217673,0.0,61205200,0.020157704166691368,232985,0.0,***
MLV,12_ZNF/Rpts,227,260.1700286333645,0.8725063420732901,-0.19676247686658424,0.039316732438731454,3390600,0.0011166814543140738,232985,0.0573811770727432,ns
MLV,13_Het,674,3121.549254063639,0.2159184254813809,-2.211441733340865,0.0,40680800,0.013398069635657399,232985,0.0,***
MLV,14_TssBiv,70,25.705467938470214,2.723156029197959,1.4452796471268923,8.931934248222724e-13,335000,0.0001103309995856824,232985,1.8550940361693352e-12,***
MLV,15_EnhBiv,38,21.70001890447575,1.751150548175895,0.8083031190486096,0.0019144542062862536,282800,9.313912442636115e-05,232985,0.003132743246650233,**
MLV,16_ReprPC,1796,3194.9824863535373,0.5621314068765965,-0.831020672823992,3.1340714077830414e-162,41637800,0.013713254013578287,232985,8.907360843172854e-162,***
MLV,17_ReprPCWk,17020,27769.333102790944,0.6129063286107297,-0.7062614933612141,0.0,361896800,0.11918936027122323,232985,0.0,***
MLV,18_Quies,71481,155816.6481195316,0.4587507231266122,-1.1242176628162965,0.0,2030641000,0.6687840338199095,232985,0.0,***
MLV,1_TssA,27055,1257.1892140414805,21.520229173002857,4.427621536396875,0.0,16384000,0.005396009245408419,232985,0.0,***
MLV,2_TssFlnk,3113,460.31970794890395,6.762691117160569,2.757597460826136,0.0,5999000,0.001975748258252265,232985,0.0,***
MLV,3_TssFlnkU,34011,1387.5274464005417,24.511947556950844,4.61541321063559,0.0,18082600,0.005955436815247942,232985,0.0,***
MLV,4_TssFlnkD,7165,734.3630159950308,9.756754961702052,3.286401395830188,0.0,9570400,0.003151975517715865,232985,0.0,***
MLV,5_Tx,4027,5645.120264412357,0.7133594700163931,-0.48729884441400756,1.3212105224741285e-116,73568600,0.024229543809311145,232985,3.567268410680147e-116,***
MLV,6_TxWk,34439,25743.757575787517,1.3377611989475273,0.419820606381573,0.0,335499000,0.11049534337312494,232985,0.0,***
MLV,7_EnhG1,1306,544.9559202955685,2.3965241065583123,1.26094345205252,6.342562284607857e-168,7102000,0.002339017191216467,232985,1.902768685382357e-167,***
MLV,8_EnhG2,1274,187.0130342078794,6.81235939193335,2.7681545476534146,0.0,2437200,0.0008026827229558959,232985,0.0,***
MLV,9_EnhA1,10087,1693.4455346903717,5.956495082579848,2.5744636705585067,0.0,22069400,0.007268474514197788,232985,0.0,***
